"course_id","num_subscribers","num_reviews","num_lectures"
"1070968","2147","23","51"
"1113822","2792","923","274"
"1006314","2174","74","51"
"1210588","2451","11","36"
"1011058","1276","45","26"
"192870","9221","138","25"
"739964","1540","178","26"
"403100","2917","148","23"
"476268","5172","34","38"
"1167710","827","14","15"
"592338","4284","93","76"
"975046","1380","42","17"
"742602","3607","21","19"
"794151","4061","52","16"
"1196544","294","19","42"
"504036","2276","106","19"
"719698","4919","79","16"
"564966","2666","115","52"
"606928","5354","24","23"
"58977","8095","249","12"
"1242604","809","3","25"
"798740","2295","84","39"
"506568","10149","83","16"
"1020760","1916","38","23"
"859742","2507","333","40"
"383414","5786","518","50"
"353044","5334","373","42"
"447362","4005","237","25"
"831066","2877","103","81"
"1266306","1026","25","37"
"1170894","1165","21","41"
"948974","1843","171","35"
"380970","8797","449","80"
"1217778","1030","11","22"
"1246208","1041","12","28"
"434774","7884","118","68"
"308690","16900","2476","52"
"888716","11441","1118","61"
"321410","22257","2697","138"
"965832","8575","809","110"
"648826","24481","2347","174"
"1035472","3811","278","103"
"1154754","4991","137","79"
"627540","7489","1190","25"
"301442","20195","1113","227"
"640100","10042","594","43"
"1247394","367","42","35"
"260470","10603","872","42"
"1214702","1197","11","46"
"848664","2893","65","62"
"1142570","1580","12","53"
"325834","10605","71","77"
"411168","2996","200","23"
"885974","6219","23","20"
"1151092","1113","11","17"
"358326","8314","83","47"
"153210","5572","123","33"
"834836","1433","169","15"
"1171994","936","6","11"
"1239068","658","2","19"
"985922","8121","689","40"
"765562","4187","600","79"
"165964","9445","497","38"
"855172","3255","340","102"
"258232","7941","713","40"
"994754","1680","158","76"
"43319","10100","985","45"
"408440","5050","461","26"
"918688","2310","162","26"
"308694","5528","506","32"
"199450","6451","237","28"
"401784","12394","218","30"
"1122792","1793","18","15"
"709500","3223","240","23"
"285638","16385","273","45"
"1135126","1487","16","18"
"834558","2951","232","60"
"551968","2697","331","15"
"1005658","3979","40","39"
"746432","3190","244","45"
"1057242","1406","71","54"
"284118","4252","225","24"
"302562","11958","370","134"
"596598","7743","340","33"
"860890","2134","55","5"
"951050","1214","69","20"
"796450","3870","53","10"
"502772","2146","212","49"
"1102462","484","57","19"
"1062092","1057","15","14"
"891484","1754","100","49"
"1217064","1239","5","6"
"382204","2493","276","108"
"308696","2602","402","57"
"474928","2000","30","9"
"1148774","1514","66","11"
"959144","1361","1","14"
"1233350","61","18","30"
"572744","1513","31","60"
"724062","1374","19","9"
"474212","2103","15","6"
"771276","1480","25","25"
"388164","2516","12","20"
"133536","50855","2698","15"
"655300","1971","13","20"
"949504","837","9","19"
"265960","17160","620","23"
"680044","1723","38","24"
"923616","6811","151","51"
"741898","2060","17","30"
"381330","2318","19","16"
"545918","2153","14","13"
"191854","19339","794","9"
"471546","3177","8","8"
"866584","1535","16","462"
"889824","1027","29","25"
"1191504","307","8","5"
"585752","2096","48","29"
"671578","1315","48","59"
"151668","29167","1463","8"
"1105344","1056","1","42"
"44836","2212","194","24"
"840300","2946","6","284"
"1100054","271","48","47"
"421054","3771","10","35"
"528784","3143","11","39"
"637430","1951","30","20"
"236080","4022","35","14"
"777444","11724","649","17"
"474238","2283","54","16"
"1245244","1181","1","18"
"1051570","1852","3","14"
"262370","4661","187","20"
"1188178","989","9","11"
"824592","5841","16","28"
"1147458","1087","14","61"
"1243448","611","4","26"
"730414","1922","149","15"
"252396","9015","65","23"
"1198166","661","4","12"
"920604","1077","110","55"
"215728","6050","140","17"
"722174","3523","46","45"
"48841","56659","4397","16"
"907444","1444","101","59"
"317030","2900","424","36"
"891490","1437","96","34"
"1070886","453","42","33"
"812616","2437","12","23"
"407984","5057","142","13"
"214046","6092","25","29"
"512400","4530","13","31"
"377370","6967","16","34"
"1175694","727","11","25"
"945750","1560","43","25"
"1085580","1047","9","46"
"1188410","1045","2","17"
"402836","3050","86","22"
"588764","2988","21","43"
"576946","2623","158","20"
"543242","1924","351","544"
"502240","3804","267","66"
"598266","4133","15","36"
"814068","1420","70","29"
"1076920","1120","6","43"
"1103272","668","12","22"
"441112","4086","31","14"
"1022108","1033","10","29"
"1028030","832","34","34"
"1018380","677","45","40"
"575676","3125","54","13"
"1105216","1081","6","21"
"936328","1645","25","42"
"43441","3348","352","13"
"1103718","939","7","19"
"584410","2115","59","88"
"625568","2230","102","10"
"297742","2053","234","44"
"24877","1793","265","54"
"1188742","3775","138","11"
"597716","521","67","24"
"415802","2222","9","12"
"323950","1097","252","10"
"488818","2506","21","76"
"610890","975","23","23"
"638980","1398","15","26"
"599684","1096","24","24"
"332848","1703","59","25"
"354324","1446","23","27"
"379682","2736","3","8"
"319020","2000","31","34"
"713258","853","45","48"
"537884","3094","2","22"
"919906","4077","281","20"
"46010","4117","54","5"
